Outlet Inventory Sheet,,,,,,,
Salamander Washington DC,,,,,,,
,,,,,Period :,________________,
36008,"Snacks/Chips/Candies, Chips Potato Original Salted Deep River  (24/2 OZ)",,$20.14 ,_________,CASE,12,No Par
,,,,,,,
5083,"Snacks/Chips/Candies, Chip Potato Orig (72 EA)",,$0.54 ,_________,BAG,No Par,No Par
,,,,,,,
Location,2,Shelf 2,,,,,
7813,"Other, Vinegar Sherry (2/5 LT)",,$24.27 ,_________,JUG,6,No Par
,,,,,,,
2556,"Dressings/Sauces/Stocks, Sauce Fish Thai Squid (12/24 OZ)",,$3.65 ,_________,BOTTLE,24,No Par
,,,,,,,
2562,"Dressings/Sauces/Stocks, Sauce Soy ABC Sweet (21 OZ)",,$6.64 ,_________,BOTTLE,24,No Par
,,,,,,,
2491,"Dressings/Sauces/Stocks, Chutney Major Grey Mango (6/10 OZ)",,$12.69 ,_________,JAR,12,No Par
,,,,,,,
2719,"Flours/Starches, Corn Starch (24/1 LB Argo)",,$1.49 ,_________,BOX,72,No Par
,,,,,,,
3443,"Other, Coating, Pan, Aerosol (6/22 OZ)",,$4.81 ,_________,CAN,36,No Par
,,,,,,,
2043,"Canned Foods, Truffle Peelings (7 OZ)",,$32.14 ,_________,CAN,6,No Par
,,,,,,,
2400,"Condiments, Ketchup Fancy (6/#10 CAN)",,$7.55 ,_________,CAN,24,No Par
,,,,,,,
2709,"Flours/Starches, Mix Tempura Batter Golden Flavor (6/5 LB)",,$5.78 ,_________,CONTAINER,6,No Par
,,,,,,,
3318,"Oils/Shortening, Oil Sesame Pure 100% (10/3.5 PT)",,$27.79 ,_________,CAN,12,No Par
,,,,,,,
3319,"Oils/Shortening, Oil Truffle White Imported (250 ML)",,$9.87 ,_________,BOTTLE,12,No Par
,,,,,,,
96619,"Oils/Shortening, Oil Olive Extra Virgin Monini Italy (4/3 LT)",,$27.98 ,_________,EACH,No Par,No Par
,,,,,,,
3308,"Oils/Shortening, Oil Canola Salad (6/1 GL)",,$12.69 ,_________,JUG,36,No Par
,,,,,,,
2404,"Condiments, Mayonnaise Extra Heavy (4/1 GA)",,$27.69 ,_________,JAR,24,No Par
,,,,,,,
12003,"Canned Foods, Tuna Albacore Chunk White Water Pack (6/66.5 OZ)",,$15.38 ,_________,CAN,36,No Par
,,,,,,,
3831,"Other, Vinegar Rice Wine Seasoned (4/1 GA)",,$14.97 ,_________,JUG,12,No Par
,,,,,,,
3824,"Other, Vinegar Apple Cider (4/1 GA)",,$6.38 ,_________,JUG,6,No Par
,,,,,,,
3827,"Other, Vinegar Cabernet (4/1 GA)",,$13.05 ,_________,JUG,6,No Par
,,,,,,,
3825,"Other, Vinegar Balsamic  (2/5 LT)",,$13.40 ,_________,JUG,6,No Par
,,,,,,,
2047,"Other, Vinegar Balsamic White (2/5 LT)",,$13.75 ,_________,JUG,No Par,No Par
,,,,,,,
2489,"Dressings/Sauces/Stocks, Sauce Sriracha Hot Chili  (12/17 OZ)",,$3.93 ,_________,BOTTLE,24,No Par
,,,,,,,
2488,"Dressings/Sauces/Stocks, Sauce Paste Chili Sambal Oelek (12/18 OZ)",,$4.13 ,_________,BOTTLE,24,No Par
,,,,,,,
2490,"Dressings/Sauces/Stocks, Chili Sauce Sweet For Chicken (12/25 OZ)",,$4.32 ,_________,BOTTLE,24,No Par
,,,,,,,
2411,"Condiments, Mustard, Dijon, White Wine, Tin (4/9 LB)",,$37.29 ,_________,CAN,6,No Par
,,,,,,,
2409,"Condiments, Mustard Dijon Grainy Maille  (9 LB)",,$149.80 ,_________,CAN,6,No Par
,,,,,,,
3361,"Other, Bitters Angostura (12/10 OZ)",,$14.30 ,_________,BOTTLE,12,No Par
,,,,,,,
3834,"Other, Vinegar White Distilled 50 Grn (6/1 GL)",,$3.39 ,_________,JUG,12,No Par
,,,,,,,
3835,"Other, Vinegar White Wine  (4/1 GA)",,$25.85 ,_________,JUG,4,No Par
,,,,,,,
3828,"Other, Vinegar Champagne (2/5 LT)",,$23.10 ,_________,JUG,4,No Par
,,,,,,,
2549,"Dressings/Sauces/Stocks, Sauce Plum (6/5 LB)",,$10.65 ,_________,CAN,12,No Par
,,,,,,,
52497,"Sauce, Oyster No Msg  (6/5 LB)",,$9.56 ,_________,CAN,12,No Par
,,,,,,,
2540,"Dressings/Sauces/Stocks, Sauce Hoisin (6/5 LB)",,$7.51 ,_________,JUG,12,No Par
,,,,,,,
Location,3,Shelf 3,,,,,
2397,"Condiments, Honey Pure (6/5 LB)",,$20.35 ,_________,BOTTLE,24,No Par
,,,,,,,
3564,"Other, Juice Lime & Cocktail Mix (12/1 LT)",,$3.69 ,_________,BOTTLE,12,No Par
,,,,,,,
3444,"Other, Cocktail Mixer Sour Bar (12/32 OZ)",,$3.29 ,_________,BOTTLE,12,No Par
,,,,,,,
52482,"Other, Bar Mix Grenadine Plastic  (12/1 L)",,$2.99 ,_________,BOTTLE,12,No Par
,,,,,,,
1976,"Canned Foods, Cherries In Brandy Parisiennes (1 LT)",,$26.42 ,_________,LITER,6,No Par
,,,,,,,
3802,"Other, Maraschino Cherries Clean Label  (6/14OZ)",,$53.97 ,_________,JAR,24,No Par
,,,,,,,
3446,"Other, Coconut Milk (6/#10 CAN)",,$11.87 ,_________,CAN,24,No Par
,,,,,,,
3227,"Juices, Cranberry Cocktail (8/60 OZ)",,$2.63 ,_________,BOTTLE,64,No Par
,,,,,,,
3224,"Juices, Apple Unsweetened Fancy (8/60 OZ)",,$2.70 ,_________,BOTTLE,64,No Par
,,,,,,,
3777,"Other, Sugar In The Raw Bulk (12/32 OZ)",,$5.20 ,_________,BOX,2,No Par
,,,,,,,
3772,"Other, Sugar 10X Confectioners (24/1 LB)",,$1.35 ,_________,BOX,72,No Par
,,,,,,,
3773,"Other, Sugar Brown Light (24/1 LB)",,$1.39 ,_________,BOX,72,No Par
,,,,,,,
3806,"Other, Tomato Juice Sacramento (12/46 FL OZ)",,$2.06 ,_________,CAN,36,No Par
,,,,,,,
3667,"Other, Pineapple Juice Dole (12/46 FL OZ)",,$2.95 ,_________,CAN,36,No Par
,,,,,,,
3810,"Other, V8 Juice (12/46 FL OZ)",,$2.47 ,_________,CAN,24,No Par
,,,,,,,
52490,Sugar Raw Brown Packets for TAB/Banquets (1200 EA),,$32.92 ,_________,CASE,3,No Par
,,,,,,,
88097,Sugar Raw Brown Stick Ecostick for IRD/Marina  (2000 EA),,$35.35 ,_________,CASE,4,No Par
,,,,,,,
3778,"Condiment, Sugar Packet (2000/1 GR)",,$17.12 ,_________,CASE,2,No Par
,,,,,,,
88098,"Other, Sugar White Organic Stick Ecostick  (2000 EA)",,$34.54 ,_________,CASE,4,No Par
,,,,,,,
3781,"Other, Sugar Substitute Splenda (2000/1 GR)",,$36.86 ,_________,CASE,2,No Par
,,,,,,,
3756,"Other, Splenda Sugar Substitute Pkts (2000/1 G)",,$41.22 ,_________,CASE,No Par,No Par
,,,,,,,
88101,"Other, Splenda Sugar Sub Yellow  (2000 EA)",,$36.74 ,_________,CASE,2,No Par
,,,,,,,
3779,"Other, Sugar Substitute Equal (2000 EA)",,$30.88 ,_________,CASE,2,No Par
,,,,,,,
91013,"Condiments, Sugar Sub Aspartame Blue Stick Ecostick (2000 EA)",,$37.89 ,_________,CASE,2,No Par
,,,,,,,
3783,"Other, Sugar Substitute Sweet & Low (2000 EA)",,$22.95 ,_________,CASE,2,No Par
,,,,,,,
88096,"Other, Sweet N Low Sugar Substitute Sticks  (2000 EA)",,$24.59 ,_________,CASE,2,No Par
,,,,,,,
Location,4,Shelf 4,,,,,
2009,"Canned Foods, Peppers Red Roasted (6/#10 CN)",,$17.10 ,_________,CAN,24,No Par
,,,,,,,
2000,"Canned Foods, Mushroom, Straw, Thai, Medium (6/#10 CAN)",,$25.20 ,_________,CAN,24,No Par
,,,,,,,
2541,"Dressings/Sauces/Stocks, Sauce Marinara (6/#10 CAN)",,$8.83 ,_________,CAN,No Par,No Par
,,,,,,,
1942,"Canned Foods, Artichoke Heart Quartered (6/88 OZ)",,$12.77 ,_________,CAN,24,No Par
,,,,,,,
4965,"Rice/Grain/Legumes, Polenta Instant Valsugana (12/13.2 OZ)",,$1.85 ,_________,BOX,24,No Par
,,,,,,,
4953,"Rice/Grain/Legumes, Bel Aria Arborio Rice (24/1 LB)",,$1.56 ,_________,CONTAINER,72,No Par
,,,,,,,
3884,"Pasta/Noodles, Couscous Int'l Israeli (4/5 LB)",,$10.14 ,_________,BAG,12,No Par
,,,,,,,
1953,"Canned Foods, Bean Kidney Light Red (6/#10 CAN)",,$4.91 ,_________,CAN,24,No Par
,,,,,,,
52427,"Canned Foods, Beets Sliced Pickled Med  (6/#10 CN)",,$8.23 ,_________,CAN,24,No Par
,,,,,,,
1952,"Canned Foods, Bean Garbanzo Fcy No Sulfite (6/#10 CAN)",,$5.09 ,_________,CAN,24,No Par
,,,,,,,
3754,"Other, Soy Milk Eden Soy (12/33 OZ)",,$3.68 ,_________,CARTON,36,No Par
,,,,,,,
8983,"Milk, Almond Milk, Low Fat (Case)",,$1.90 ,_________,CONTAINER,36,No Par
,,,,,,,
91002,"Other, Milk Oat (6/32 OZ)",,$16.89 ,_________,CASE,3,No Par
,,,,,,,
91015,"Other, Pancake Mix Buttermilk Gluten Free Connaisseur (4/2.2 LB)",,$65.71 ,_________,CASE,3,No Par
,,,,,,,
9674,"Other, Mix Pancake/Waffle Carbon's Original (8/3.75 Lb)",,$8.74 ,_________,BAG,32,No Par
,,,,,,,
27883,"Other, Mix Pancake Waffle Gluten Free (5/3 LB)",,$64.00 ,_________,CASE,2,No Par
,,,,,,,
1983,"Canned Foods, Corn Whole Kernel Golden Fancy (6/#10 CAN)",,$9.29 ,_________,CAN,36,No Par
,,,,,,,
1956,"Canned Foods, Beans Black Canned (6/#10 CAN)",,$5.84 ,_________,CAN,36,No Par
,,,,,,,
3775,"Other, Sugar Cubes White Comptoir Sud (8/1 KG)",,$5.37 ,_________,BOX,20,No Par
,,,,,,,
3774,"Other, Sugar Cubes Brown Comptoir Sud (8/1 KG)",,$5.54 ,_________,BOX,20,No Par
,,,,,,,
1985,"Canned Foods, Cornichons (9.6 LB)",,$14.59 ,_________,CAN,4,No Par
,,,,,,,
8527,"Condiments, Maple Syrup (4/1 GA)",,$36.76 ,_________,JUG,12,No Par
,,,,,,,
97229," Dried Fruits/Nuts, Almonds Marcona Dry Roast and Salted (2/2.3 KG per case)",,$136.35 ,_________,CASE,No Par,No Par
,,,,,,,
97230," Dried Fruits/Nuts, Almonds Marcona Fried and Salted (2/2.3 KG per case)",,$135.43 ,_________,CASE,No Par,No Par
,,,,,,,
Location,5,Shelf 5,,,,,
5240,"Spices/Seasonings, Allspice Ground (6/1 LB)",,$11.82 ,_________,JAR,6,No Par
,,,,,,,
5242,"Spices/Seasonings, Anise Star (8 OZ)",,$9.88 ,_________,BOTTLE,6,No Par
,,,,,,,
52504,"Spices/Seasonings, Bay Leaf Whole Dried  (2 OZ)",,$2.07 ,_________,JAR,6,No Par
,,,,,,,
5254,"Spices/Seasonings, Cayenne Pepper (16 OZ)",,$6.70 ,_________,BOTTLE,6,No Par
,,,,,,,
5251,"Spices/Seasonings, Cajun Seasoning (16 OZ)",,$10.52 ,_________,CONTAINER,6,No Par
,,,,,,,
5252,"Spices/Seasonings, Cardamon Ground (16 OZ)",,$20.91 ,_________,BOTTLE,6,No Par
,,,,,,,
5253,"Spices/Seasonings, Cardamon Whole (14 OZ)",,$36.16 ,_________,BOTTLE,6,No Par
,,,,,,,
5257,"Spices/Seasonings, Celery Seed Whole (6/1 LB)",,$2.94 ,_________,JAR,6,No Par
,,,,,,,
5256,"Spices/Seasonings, Celery Salt (32 OZ)",,$3.83 ,_________,BOTTLE,6,No Par
,,,,,,,
52505,"Spices/Seasonings, Chili Powder Mild Plastic (18 OZ)",,$9.84 ,_________,JAR,6,No Par
,,,,,,,
5268,"Spices/Seasonings, Cinnamon Stick 2 1/2"" Avg (8 OZ)",,$13.00 ,_________,BOTTLE,6,No Par
,,,,,,,
5265,"Spices/Seasonings, Cinnamon Ground (18oz)",,$6.19 ,_________,CONTAINER,6,No Par
,,,,,,,
5271,"Spices/Seasonings, Clove Whole (14 OZ)",,$11.70 ,_________,JAR,6,No Par
,,,,,,,
5270,"Spices/Seasonings, Clove Ground (16 OZ)",,$18.47 ,_________,BOTTLE,6,No Par
,,,,,,,
5272,"Spices/Seasonings, Coriander Ground (16 OZ)",,$9.47 ,_________,BOTTLE,6,No Par
,,,,,,,
5275,"Spices/Seasonings, Cumin Ground (16 OZ)",,$11.25 ,_________,BOTTLE,6,No Par
,,,,,,,
5278,"Spices/Seasonings, Curry Powder (16 OZ)",,$9.43 ,_________,JAR,6,No Par
,,,,,,,
5281,"Spices/Seasonings, Fajita Seasoning (30oz)",,$12.08 ,_________,CONTAINER,6,No Par
,,,,,,,
5283,"Spices/Seasonings, Fennel Seed Whole (16 OZ)",,$29.20 ,_________,JAR,6,No Par
,,,,,,,
5299,"Spices/Seasonings, Onion Powder (20 OZ)",,$4.04 ,_________,JAR,6,No Par
,,,,,,,
5289,"Spices/Seasonings, Ginger Ground (16 OZ)",,$13.18 ,_________,JAR,6,No Par
,,,,,,,
5288,"Spices/Seasonings, Garlic Powder (16 OZ)",,$5.02 ,_________,JAR,6,No Par
,,,,,,,
5287,"Spices/Seasonings, Garlic Granulated (20 OZ)",,$6.37 ,_________,JAR,6,No Par
,,,,,,,
5284,"Spices/Seasonings, Five Spice Powder (24/4 OZ)",,$3.54 ,_________,JAR,6,No Par
,,,,,,,
5297,"Spices/Seasonings, Nutmeg Whole (16 OZ)",,$9.80 ,_________,JAR,6,No Par
,,,,,,,
5296,"Spices/Seasonings, Nutmeg Ground (6/1 LB)",,$16.41 ,_________,JAR,6,No Par
,,,,,,,
5301,"Spices/Seasonings, Oregano Leaf Whole (5 OZ)",,$2.46 ,_________,EACH,6,No Par
,,,,,,,
52507,"Spices/Seasonings, Paprika Hungarian Ground Plastic (18 OZ)",,$7.24 ,_________,CONTAINER,6,No Par
,,,,,,,
5273,"Spices/Seasonings, Coriander Seed Whole (13 OZ)",,$2.03 ,_________,JAR,6,No Par
,,,,,,,
5248,"Spices/Seasonings, Black Pepper Pouch Shaker Ground (3/2 LB)",,$30.73 ,_________,BAG,4,No Par
,,,,,,,
5247,"Spices/Seasonings, Spices Pepper Black Ground (16 OZ)",,$9.77 ,_________,JAR,6,No Par
,,,,,,,
5250,"Spices/Seasonings, Pepper Black Whole (Peppercorns) (18 OZ)",,$6.78 ,_________,EACH,6,No Par
,,,,,,,
5320,"Spices/Seasonings, Red Pepper Crushed (13 OZ)",,$9.23 ,_________,EACH,6,No Par
,,,,,,,
5350,"Spices/Seasonings, Spice Pepper White Ground (18 OZ)",,$9.46 ,_________,CONTAINER,6,No Par
,,,,,,,
5313,"Spices/Seasonings, Peppercorn White (6/18 OZ)",,$8.60 ,_________,CONTAINER,6,No Par
,,,,,,,
5311,"Spices/Seasonings, Peppercorn Pink (8 OZ)",,$10.29 ,_________,JAR,6,No Par
,,,,,,,
5310,"Spices/Seasonings, Peppercorn Melang 4-Color (6/15 OZ)",,$3.73 ,_________,CONTAINER,6,No Par
,,,,,,,
5334,"Spices/Seasonings, Sesame Seed Black (16 OZ)",,$10.95 ,_________,JAR,6,No Par
,,,,,,,
5336,"Spices/Seasonings, Sesame Seed Whole White (18 OZ)",,$6.66 ,_________,EACH,6,No Par
,,,,,,,
5342,"Spices/Seasonings, Thyme Leaf Whole (6OZ EA)",,$8.47 ,_________,EACH,6,No Par
,,,,,,,
5343,"Spices/Seasonings, Tumeric Ground (16 OZ)",,$11.69 ,_________,JAR,6,No Par
,,,,,,,
15382,"Spices/Seasonings, Caraway Seed (16 OZ)",,$3.12 ,_________,JAR,6,No Par
,,,,,,,
16009,"Spices/Seasonings, Sumac  (16 OZ)",,$4.97 ,_________,CONTAINER,6,No Par
,,,,,,,
5276,"Spices/Seasonings, Cumin Seed (16 OZ)",,$4.32 ,_________,BOTTLE,No Par,No Par
,,,,,,,
8107,"Spices/Seasonings, Salt Iodized (24/26 Oz)",,$0.62 ,_________,CONTAINER,36,No Par
,,,,,,,
5329,"Spices/Seasonings, Salt, Kosher (12/3 LB)",,$3.27 ,_________,BOX,36,No Par
,,,,,,,
2521,"Spices/Seasonings, Seasoning Paste Curry Green (2 lb)",,$80.43 ,_________,TUB,4,No Par
,,,,,,,
2522,"Dressings/Sauces/Stocks,Paste Curry Red Mae Ploy (2 LB.)",,$12.41 ,_________,TUB,4,No Par
,,,,,,,
2534,"Dressings/Sauces/Stocks, Sauce BBQ (4/1 GL)",,$16.47 ,_________,JAR,12,No Par
,,,,,,,
1975,"Other, Capers Non Pareil (6/32 OZ)",,$10.10 ,_________,BOTTLE,24,No Par
,,,,,,,
12884,"Canned Foods, Cocktail Onion (12/32 OZ)",,$3.25 ,_________,JAR,24,No Par
,,,,,,,
2555,"Dressings/Sauces/Stocks, Sauce Worcestershire (24/5 OZ)",,$1.90 ,_________,BOTTLE,24,No Par
,,,,,,,
2417,"Condiments, Sauce Tabasco (12/5 OZ)",,$2.93 ,_________,BOTTLE,3,No Par
,,,,,,,
2421,"Condiments, Tabasco Sauce Room Service (144/.125 FL OZ)",,$48.67 ,_________,CASE,6,No Par
,,,,,,,
2558,"Dressings/Sauces/Stocks, Sauce Hot Red Frank's (4/1 GA)",,$12.93 ,_________,JUG,8,No Par
,,,,,,,
2550,"Dressings/Sauces/Stocks, Sauce Soy (12/ 5 OZ)",,$32.37 ,_________,CASE,3,No Par
,,,,,,,
2553,"Dressings/Sauces/Stocks, Sauce Teriyaki (4/1 GL)",,$13.90 ,_________,JAR,8,No Par
,,,,,,,
15569,"Dressings/Sauces/Stocks, Sauces Soy Gluten-Free (6/.5 GAL)",,$8.34 ,_________,JUG,6,No Par
,,,,,,,
2561,"Dressings/Sauces/Stocks, Soy Sauce Kikkoman (4/1 GA)",,$12.63 ,_________,JUG,4,No Par
,,,,,,,
52488,"Other, Olive Grn Queen Ptd 80-90 Ct (4/1 GA)",,$20.22 ,_________,JAR,4,No Par
,,,,,,,
2014,"Canned Foods, Pepperoncini, Greek (4/128 OZ)",,$7.48 ,_________,CAN,4,No Par
,,,,,,,
Location,6,Shelf 6,,,,,
27084,"Canned Foods, Tomato Paste 26% Light (6/#10 Cn)",,$9.03 ,_________,CAN,12,No Par
,,,,,,,
52431,"Canned Foods, Tomato Crushed In X-Heavy Puree  (6/#10 CN)",,$5.72 ,_________,CAN,122,No Par
,,,,,,,
2034,"Canned Foods, Tomato Diced In Juice (6/#10 CAN)",,$5.54 ,_________,CAN,No Par,No Par
,,,,,,,
3908,"Pasta/Noodles, Pasta Penne Rigate #70 (4/6 LB)",,$7.87 ,_________,BAG,8,No Par
,,,,,,,
3894,"Pasta/Noodles, Pasta Farfalle #94 (4/5 LB)",,$9.47 ,_________,BAG,8,No Par
,,,,,,,
3913,"Pasta/Noodles, Pasta Spaghetti #13 (4/5 LB)",,$7.71 ,_________,BAG,8,No Par
,,,,,,,
2041,"Canned Foods, Tomato Whole Peeled (6/#10 CAN)",,$5.47 ,_________,CAN,24,No Par
,,,,,,,
3709,"Other, Rose Brand Rice Paper Skin 22 Cm (Each)",,$2.15 ,_________,EACH,48,No Par
,,,,,,,
3910,"Pasta/Noodles, Pasta Rice Stick Vermicelli (60/1 LB)",,$2.15 ,_________,BAG,60,No Par
,,,,,,,
3233,"Juices, Juice Clam Sea Fcy No Msg (12/46 OZ)",,$3.41 ,_________,CAN,36,No Par
,,,,,,,
15750,"Pasta/Noodles, Noodles Rice Stick Pad Thai  (30/1 LB)",,$2.06 ,_________,BAG,30,No Par
,,,,,,,
3892,"Pasta/Noodles, Pasta Farfalle (20/1 LB)",,$1.24 ,_________,BOX,40,No Par
,,,,,,,
3899,"Pasta/Noodles, Pasta Fusilli #63 (12/16 OZ)",,$1.37 ,_________,BOX,24,No Par
,,,,,,,
52428,"Canned Foods, Clams Ocean Cooked Chopped  (12/51 OZ)",,$11.66 ,_________,CAN,36,No Par
,,,,,,,
3903,"Pasta/Noodles, Pasta Orecchiette #92 (12/1 LB)",,$1.99 ,_________,PACKAGE,36,No Par
,,,,,,,
3891,"Pasta/Noodles, Pasta Elbows #82 (20/1 LB)",,$2.14 ,_________,BOX,40,No Par
,,,,,,,
3911,"Pasta/Noodles, Pasta Rigatoni (20/1 LB)",,$1.89 ,_________,BOX,40,No Par
,,,,,,,
3907,"Pasta/Noodles, Pasta Penne Rigate #41 (12/16 OZ)",,$2.20 ,_________,BOX,24,No Par
,,,,,,,
3917,"Pasta/Noodles, Pasta Penne Gluten Free (8/12 OZ)",,$2.42 ,_________,PACKAGE,24,No Par
,,,,,,,
3709,"Other, Rose Brand Rice Paper Skin 22 Cm (48/22 CM)",,$166.00 ,_________,CASE,No Par,No Par
,,,,,,,
Location,19,Shelf 8,,,,,
3391,"Other, Cereal All Bran Indiv Box (70/ 1.76 OZ)",,$45.71 ,_________,CASE,2,No Par
,,,,,,,
3392,"Other, Cereal Asst Family Pack (72/ 1.02 OZ)",,$55.85 ,_________,CASE,2,No Par
,,,,,,,
3394,"Other, Cereal Cheerios PC SS (70/ 0.63 OZ)",,$50.67 ,_________,CASE,2,No Par
,,,,,,,
3397,"Other, Cereal Corn Flakes Indiv Box (70/ 0.84 OZ)",,$41.04 ,_________,CASE,2,No Par
,,,,,,,
3398,"Other, Cereal Froot Loops  (70/ 0.95 OZ)",,$37.87 ,_________,CASE,2,No Par
,,,,,,,
3400,"Other, Cereal Frosted Flakes Indiv Bx (70/ 1.20 OZ)",,$35.40 ,_________,CASE,2,No Par
,,,,,,,
3407,"Other, Cereal Raisin Bran Indiv Box (70/ 1.52 OZ)",,$37.82 ,_________,CASE,2,No Par
,,,,,,,
3410,"Other, Cereal Rice Krispies Indiv Box (70/ 0.88 OZ)",,$31.52 ,_________,CASE,2,No Par
,,,,,,,
3412,"Other, Cereal Special K Indiv Box (70/ 0.81 OZ)",,$41.04 ,_________,CASE,2,No Par
,,,,,,,
3414,"Other, Cereal Wheat Shredded Mini (70/ 1 OZ)",,$38.13 ,_________,CASE,2,No Par
,,,,,,,
3405,"Other, Oatmeal Steel Cut Irish Canister (12/1.88 LB)",,$8.14 ,_________,CARTON,36,No Par
,,,,,,,
2430,"Crackers/Cookies/Wafers, Crackers Asst.Wellington Abc (12/8.8 OZ)",,$4.79 ,_________,BOX,24,No Par
,,,,,,,
3404,"Other, Cereal Oatmeal Rolled Quick Hot Canister Shelf Stable (12/42 OZ)",,$5.28 ,_________,CAN,24,0
,,,,,,,
3515,"Other, Familia Swiss Muesili (6/32 OZ)",,$10.00 ,_________,BOX,24,No Par
,,,,,,,
3403,"Other, Cereal Grits Quick Enriched (12/2.5 LB)",,$1.94 ,_________,BOX,24,No Par
,,,,,,,
3445,"Other, Cocoa Mix Rich Instant Pckt (6/50 EA)",,$7.98 ,_________,BOX,24,No Par
,,,,,,,
3618,"Other, Nesquick Choc.Powder (12/10.9 OZ)",,$5.48 ,_________,CONTAINER,24,No Par
,,,,,,,
2604,"Dried Fruits/Nuts, Granola Bulk ""Nature Valley"" (4/50 OZ)",,$17.83 ,_________,BAG,20,No Par
,,,,,,,
3406,"Other, Cereal Raisin Bran (4/56 OZ)",,$11.90 ,_________,BAG,No Par,No Par
,,,,,,,
24511,"Other, Cereal Honey Nut Cheerios",,$12.64 ,_________,BAG,No Par,No Par
,,,,,,,
Location,9,Soda & Water,,,,,
22451,"Water, Sparkling Saratoga (12/28 oz)",,$25.57 ,_________,CASE,12,No Par
,,,,,,,
22450,"Water, Still Saratoga (12/28 OZ)",,$25.69 ,_________,CASE,No Par,No Par
,,,,,,,
5216,"Soda, Coke Classic Bottle (24/8 FL OZ)",,$46.63 ,_________,CASE,12,No Par
,,,,,,,
5220,"Soda, Coke Diet Bottle (24/8 FL OZ)",,$33.23 ,_________,CASE,12,No Par
,,,,,,,
5236,"Soda, Sprite Bottle (24/ 8 OZ)",,$37.91 ,_________,CASE,12,No Par
,,,,,,,
5219,"Soda, BIB Coke Diet (5 GAL)",,$106.19 ,_________,BOX,2,No Par
,,,,,,,
56331,"Soda, BIB Sprite (5 GAL)",,$111.25 ,_________,BOX,2,No Par
,,,,,,,
40246,"Soda, BIB Ginger Ale (2.5 GAL)",,$56.38 ,_________,CASE,3,No Par
,,,,,,,
5215,"Soda, BIB Coke Classic (5 GAL)",,$111.25 ,_________,BOX,2,No Par
,,,,,,,
